Site ID,Rating 5_5_22,Sport Fish Area Boundary,"Area, Region, Quad or City",Road Name,Stream Name,Prioritization,AWCStreamNo,Miles Used for Scoring,MSB Culverts to 16pc Gradient with Green culverts removed ,NHD Miles Data TO NEXT NON-GREEN CULVERT or END,Pre-2022 Miles Data to NEXT BARRIER or END,AWC Miles U/S- ,Acres of Lake,AWC SPECIES at mouth,No of Anadromous Species,Resident AFFI- Needs to be updated.,No of resident species,Red/Gray rating,Rating w/ Perch,Perch height over 1 foot,Perch,latitude,longitude,notes
20300964,Red,Kenai Peninsula,,Seward Highway,Unnamed,0,no awc,0.01,,,,,,,,,,1,1,,,60.8236131,-149.1324055,
20303056,Black,Kenai Peninsula,,Jakalof Bay Road,Unnamed,0,no awc,0.01,,,,,,,,,,0,1,3,1,59.46002,-151.53177,
20303062,Black,Kenai Peninsula,,Jakalof Bay Road,Unnamed,0,no awc,0.01,,,,,,,,,,0,1,4,1,59.45235,-151.52417,
20203722,Gray,Kenai Peninsula,,Driveway,Scheffler Creek,0,no awc,0.01,,,,,,,,,,0.5,0.5,,,60.11341,-149.44402,
20300909,Gray,Kenai Peninsula,,Port Graham,NULL,0,no awc,0.01,,,,,,,,,,0.5,0.5,,,59.33090594,-151.8055521,
20300927,Gray,Kenai Peninsula,,Port Graham,NULL,0,no awc,0.01,,,,,,,,,,0.5,0.5,,,59.2785487,-151.655291,
20300955,Gray,Kenai Peninsula,,Seward Highway,Unnamed,0,no awc,0.01,,,,,,,,,,0.5,0.5,,,60.74330825,-149.3641276,
20300956,Gray,Kenai Peninsula,,Seward Highway,Unnamed,0,no awc,0.01,,,,,,,,,,0.5,0.5,,,60.74490865,-149.3658983,
20300957,Gray,Kenai Peninsula,,Seward Highway,Ditch Creek,0,no awc,0.01,,,,,,,,,,0.5,0.5,,,60.72777157,-149.2798841,
20301000,Gray,Kenai River Drainage,,Sterling Highway,Unnamed,0,no awc,0.01,,,,,,,,,,0.5,0.5,,,60.52409203,-149.6411689,
